Sealoch_ID,SILLNO,LOCH,Length__m_,High_Water_Width__m_,Low_Water_Width__m_,Max_Depth__m_,Mean_Depth__m_,Cross_Section_Area__m²_,HW_Upstream_Area__km²_,LW_Upstream_Area__km²_,Mean_Current__cm_s_,Basin_Depth__m_,Comments,Label,Shape_Length
1,1,Billefjorden,2500,7500,7500,50,50,250000,50,50,0,160,,Billefjorden (Sill 1),5639.005185
1,2,Billefjorden,2200,4800,4800,50,50,188000,140,140,0,160,,Billefjorden (Sill 2),3487.151717
2,1,Billefjorden_S1,2500,7500,7500,10,10,50000,50,50,0,160,,Billefjorden (Sill 1),5639.005185
2,2,Billefjorden_S1,2200,4800,4800,50,50,188000,140,140,0,160,,Billefjorden (Sill 2),3487.151717
3,1,Billefjorden_S2,2500,7500,7500,20,20,125000,50,50,0,160,,Billefjorden (Sill 1),5639.005185
3,2,Billefjorden_S2,2200,4800,4800,50,50,188000,140,140,0,160,,Billefjorden (Sill 2),3487.151717
4,1,Billefjorden_S3,2500,7500,7500,30,30,150000,50,50,0,160,,Billefjorden (Sill 1),5639.005185
4,2,Billefjorden_S3,2200,4800,4800,50,50,188000,140,140,0,160,,Billefjorden (Sill 2),3487.151717
5,1,Billefjorden_S4,2500,7500,7500,40,40,200000,50,50,0,160,,Billefjorden (Sill 1),5639.005185
5,2,Billefjorden_S4,2200,4800,4800,50,50,188000,140,140,0,160,,Billefjorden (Sill 2),3487.151717
6,1,Billefjorden_S5,2500,7500,7500,50,50,250000,50,50,0,160,,Billefjorden (Sill 1),5639.005185
6,2,Billefjorden_S5,2200,4800,4800,50,50,188000,140,140,0,160,,Billefjorden (Sill 2),3487.151717
7,1,Billefjorden_S6,2500,7500,7500,60,60,300000,50,50,0,160,,Billefjorden (Sill 1),5639.005185
7,2,Billefjorden_S6,2200,4800,4800,50,50,188000,140,140,0,160,,Billefjorden (Sill 2),3487.151717
8,1,Billefjorden_S7,2500,7500,7500,70,70,350000,50,50,0,160,,Billefjorden (Sill 1),5639.005185
8,2,Billefjorden_S7,2200,4800,4800,50,50,188000,140,140,0,160,,Billefjorden (Sill 2),3487.151717
9,1,Billefjorden_S8,2500,7500,7500,80,80,400000,50,50,0,160,,Billefjorden (Sill 1),5639.005185
9,2,Billefjorden_S8,2200,4800,4800,50,50,188000,140,140,0,160,,Billefjorden (Sill 2),3487.151717
10,1,Billefjorden_S9,2500,7500,7500,90,90,450000,50,50,0,160,,Billefjorden (Sill 1),5639.005185
10,2,Billefjorden_S9,2200,4800,4800,50,50,188000,140,140,0,160,,Billefjorden (Sill 2),3487.151717
11,1,Billefjorden_S10,2500,7500,7500,100,100,500000,50,50,0,160,,Billefjorden (Sill 1),5639.005185
11,2,Billefjorden_S10,2200,4800,4800,50,50,188000,140,140,0,160,,Billefjorden (Sill 2),3487.151717
12,1,Billefjorden_S0,2500,7500,7500,190,190,750000,50,50,0,160,,Billefjorden (Sill 1),5639.005185
12,2,Billefjorden_S0,2200,4800,4800,50,50,188000,140,140,0,160,,Billefjorden (Sill 2),3487.151717
13,1,Billefjorden_S100,2500,7500,7500,100,100,500000,50,50,0,160,,Billefjorden (Sill 1),5639.005185
13,2,Billefjorden_S100,2200,4800,4800,50,50,188000,140,140,0,160,,Billefjorden (Sill 2),3487.151717
