Fjord_ID,Name,Comments,OS_Referen,Latitude,Longitude,Admiralty,Admiralt_1,Loch_Lengt,Tidal_Rang,Maximum_De,HW_AREA,LW_AREA,2M_AREA,5M_AREA,10M_AREA,LW_VOL,Watershed,Annual_Rai,Runoff__M,Kinetic_En,Mean_Depth,Fresh_Tide,Runoff_Wid,Number_of,Easting,Northing
1,BILLEFJORDEN,,,78.57,16.456,,,27.1,0.52,200,190.4946,190.4946,0,0,0,14.9,907,,3.4,,70,,,2,,
2,BILLEFJORDEN_S1,,,78.57,16.456,,,27.1,0.52,200,190.4946,190.4946,0,0,0,14.9,907,,3.4,,70,,,2,,
3,BILLEFJORDEN_S2,,,78.57,16.456,,,27.1,0.52,200,190.4946,190.4946,0,0,0,14.9,907,,3.4,,70,,,2,,
4,BILLEFJORDEN_S3,,,78.57,16.456,,,27.1,0.52,200,190.4946,190.4946,0,0,0,14.9,907,,3.4,,70,,,2,,
5,BILLEFJORDEN_S4,,,78.57,16.456,,,27.1,0.52,200,190.4946,190.4946,0,0,0,14.9,907,,3.4,,70,,,2,,
6,BILLEFJORDEN_S5,,,78.57,16.456,,,27.1,0.52,200,190.4946,190.4946,0,0,0,14.9,907,,3.4,,70,,,2,,
7,BILLEFJORDEN_S6,,,78.57,16.456,,,27.1,0.52,200,190.4946,190.4946,0,0,0,14.9,907,,3.4,,70,,,2,,
8,BILLEFJORDEN_S7,,,78.57,16.456,,,27.1,0.52,200,190.4946,190.4946,0,0,0,14.9,907,,3.4,,70,,,2,,
9,BILLEFJORDEN_S8,,,78.57,16.456,,,27.1,0.52,200,190.4946,190.4946,0,0,0,14.9,907,,3.4,,70,,,2,,
10,BILLEFJORDEN_S9,,,78.57,16.456,,,27.1,0.52,200,190.4946,190.4946,0,0,0,14.9,907,,3.4,,70,,,2,,
11,BILLEFJORDEN_S10,,,78.57,16.456,,,27.1,0.52,200,190.4946,190.4946,0,0,0,14.9,907,,3.4,,70,,,2,,
12,BILLEFJORDEN_S0,,,78.57,16.456,,,27.1,0.52,200,190.4946,190.4946,0,0,0,14.9,907,,3.4,,70,,,2,,
13,BILLEFJORDEN_S100,,,78.57,16.456,,,27.1,0.52,200,190.4946,190.4946,0,0,0,14.9,907,,3.4,,70,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
12,KONGSFJORDEN,,,79,11.66,,,20,0.52,352,188.2367158,188.2367158,0,0,0,29.4,1428,,1376,,200,,,0,,
